responseid,plastic_bag_disposal,trash,recycle,dropoff,other
R_2dL7Dr8dZTCTKwT,NA,False,False,False,False
R_1DvFTBxrtp3Jn7k,Trash Cart,True,False,False,False
R_2S1VkDbgNkHOtu2,Trash Cart,True,False,False,False
R_WAw1Y2Lth9AzEt3,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_3NXr97CGD8N3bmg,Trash Cart,True,False,False,False
R_3oMg4oXhX3tSVRX,Other (such as can and bottle return or compost),False,False,False,True
R_Q4fpQoXlaK7Mich,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_3kiLunV05z4Szeh,Trash Cart,True,False,False,False
R_1KxmkexzynkSl95,Other (such as can and bottle return or compost),False,False,False,True
R_tSROmSFI65uhA2J,Other (such as can and bottle return or compost),False,False,False,True
R_3EtDMDxfllMlOjQ,Take to Drop-off Recycling Center,False,False,True,False
R_2tLMUvK1EH7DLeG,Trash Cart,True,False,False,False
R_23488oCmFcoTcSo,Take to Drop-off Recycling Center,False,False,True,False
R_2RadolWwkWxzk1P,Trash Cart,True,False,False,False
R_1g2xGtXkn9deN5R,Take to Drop-off Recycling Center,False,False,True,False
R_2EoWt3uBdqOZimJ,Take to Drop-off Recycling Center,False,False,True,False
R_1FS6PynCDXPC9cK,Other (such as can and bottle return or compost),False,False,False,True
R_3mlNCY103xrod13,Trash Cart,True,False,False,False
R_2VmccSEFjhd3HdO,Take to Drop-off Recycling Center,False,False,True,False
R_1QlIYkuOeDmZBz0,Trash Cart,True,False,False,False
R_DOjuEcxc0Ac9XmV,Take to Drop-off Recycling Center,False,False,True,False
R_TiPzLjzfIRiiMOB,Trash Cart,True,False,False,False
R_2rPBf7hZ2fluqTC,Other (such as can and bottle return or compost),False,False,False,True
R_2fpNpQlj6haARqq,Trash Cart,True,False,False,False
R_2tledQ3XLda1vEC,Trash Cart,True,False,False,False
R_DOxmHFBL1K0uJYB,Trash Cart,True,False,False,False
R_9vsXwRK28UxJrGN,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,False,True,True
R_3KAwxBZIyCXBKUY,Trash Cart,True,False,False,False
R_2COioatClxTHs17,Other (such as can and bottle return or compost),False,False,False,True
R_C1BgpyLAWVNjNEB,Other (such as can and bottle return or compost),False,False,False,True
R_3KJhRXggdz4ZlkC,Other (such as can and bottle return or compost),False,False,False,True
R_3gZ6y9x1MvVfWoy,Take to Drop-off Recycling Center,False,False,True,False
R_2WGqr6r00R9cRFn,Trash Cart,True,False,False,False
R_3fjTI6foFlWsi8a,Take to Drop-off Recycling Center,False,False,True,False
R_ulGKVQji1JSWlot,Take to Drop-off Recycling Center,False,False,True,False
R_1GUM8X3lC3QsDdH,Other (such as can and bottle return or compost),False,False,False,True
R_3QDapxcilDJAb0Z,Trash Cart,True,False,False,False
R_2qsn1iZZtIYa3fb,Take to Drop-off Recycling Center,False,False,True,False
R_22wQpmE7t8aNRZw,Trash Cart,True,False,False,False
R_3EEC995yU4ZjGjR,Take to Drop-off Recycling Center,False,False,True,False
R_21EQnB8dSzsKVfk,Trash Cart,True,False,False,False
R_1H1Vw5z4scuxeDR,Other (such as can and bottle return or compost),False,False,False,True
R_1PY1cGY3K4Pp589,Take to Drop-off Recycling Center,False,False,True,False
R_1H1amT7gltHB81c,"Trash Cart,Recycling Cart",True,True,False,False
R_1CxbLod3wAaFYBP,Trash Cart,True,False,False,False
R_UXFfvIQeOFQKZ5n,Trash Cart,True,False,False,False
R_2pQYyMG4dzX0OE6,Recycling Cart,False,True,False,False
R_2VDSkW88jjDy4yq,Take to Drop-off Recycling Center,False,False,True,False
R_3ITaqOxDj5RItE7,Other (such as can and bottle return or compost),False,False,False,True
R_1hFr1gxvqvJVX56,Trash Cart,True,False,False,False
R_1dfZpRDrv2rY7jR,Trash Cart,True,False,False,False
R_33e5mQ65Tg1UdCK,Trash Cart,True,False,False,False
R_74ck1s16gme4s49,Trash Cart,True,False,False,False
R_1fkmHqSIqoB97ou,Trash Cart,True,False,False,False
R_2axHFpThijbRi4d,Take to Drop-off Recycling Center,False,False,True,False
R_3NCE5vaAX0073xW,Take to Drop-off Recycling Center,False,False,True,False
R_3DvSxJbuBMglw7z,Trash Cart,True,False,False,False
R_5opRzgT1yJnEJ0J,Other (such as can and bottle return or compost),False,False,False,True
R_1kUIT1SILd60pyU,Take to Drop-off Recycling Center,False,False,True,False
R_9ZuknWLhbVqOybf,Trash Cart,True,False,False,False
R_1FLjhf2sFI44Cf4,Trash Cart,True,False,False,False
R_vMLDrYTdfCabRjX,Trash Cart,True,False,False,False
R_25swR7JzvEq9fSC,Other (such as can and bottle return or compost),False,False,False,True
R_3qg5G8KDEhDNLsx,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_2uD0ALI9QOcgGvy,Other (such as can and bottle return or compost),False,False,False,True
R_1FETsu2RRPPeIJT,Trash Cart,True,False,False,False
R_3ixPUKbQWLsfetW,Trash Cart,True,False,False,False
R_1mUcb0Hh0r5qucC,Take to Drop-off Recycling Center,False,False,True,False
R_2PAmevHIHLgziO3,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_2Sddp0F6fYGZyHA,Other (such as can and bottle return or compost),False,False,False,True
R_3knpGQ9G5ryIutp,Trash Cart,True,False,False,False
R_7NVNNKqoitRQUgx,Trash Cart,True,False,False,False
R_2w1tsFF4dkvUfKp,Trash Cart,True,False,False,False
R_3RjBa6MGSs4do0w,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_2rSBq7AyNy1tQyA,Trash Cart,True,False,False,False
R_1mlbPGlXYxOItvW,Trash Cart,True,False,False,False
R_1FfHXjJCrVBsKDT,Take to Drop-off Recycling Center,False,False,True,False
R_qLAjxtPeyqzAjwl,Take to Drop-off Recycling Center,False,False,True,False
R_1rdfLkwq0zmQpq6,Trash Cart,True,False,False,False
R_1F3a8tnE5Q8pGdi,Other (such as can and bottle return or compost),False,False,False,True
R_3isEgheOJ7P7Me5,Other (such as can and bottle return or compost),False,False,False,True
R_3sySnbgLzldFscH,Take to Drop-off Recycling Center,False,False,True,False
R_3RxAAtDL9Lx4kR7,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,False,True,True
R_3nBlRCMp3NNYxHy,Trash Cart,True,False,False,False
R_0wFPwZJvI678KjL,"Trash Cart,Recycling Cart,Take to Drop-off Recycling Center",True,True,True,False
R_1cXO9BN8DVjD1id,Trash Cart,True,False,False,False
R_O0Vqzd2lhofUuBj,Trash Cart,True,False,False,False
R_1gumG0DM4oGOLwT,Take to Drop-off Recycling Center,False,False,True,False
R_1rHV1Z1POlYzoTy,Trash Cart,True,False,False,False
R_29v1kl7ODZPkbU5,Trash Cart,True,False,False,False
R_PHAnDywGWw3nEIN,Other (such as can and bottle return or compost),False,False,False,True
R_By6LtI4TklIHVy9,Trash Cart,True,False,False,False
R_2UhA1v3qaFrnJZP,Take to Drop-off Recycling Center,False,False,True,False
R_3En9mcTwfuvDfOm,Other (such as can and bottle return or compost),False,False,False,True
R_1mPlcrAhN4I8K7K,Take to Drop-off Recycling Center,False,False,True,False
R_3321VFsdTPHrNf0,Take to Drop-off Recycling Center,False,False,True,False
R_2s55Fi8dnA002Pt,Other (such as can and bottle return or compost),False,False,False,True
R_5uUhGcsrjiE6x2x,Trash Cart,True,False,False,False
R_C2KeQW0YotEvUDT,Take to Drop-off Recycling Center,False,False,True,False
R_6s6jBcPw0NjkFi1,Take to Drop-off Recycling Center,False,False,True,False
R_XGTNl5JQHsWQyQh,Recycling Cart,False,True,False,False
R_1FJwpfVTJekOqjh,Recycling Cart,False,True,False,False
R_3RwsYtSP9tdkYv1,Other (such as can and bottle return or compost),False,False,False,True
R_2VlkppxWDNp9fPk,Trash Cart,True,False,False,False
R_8IeUzTJ78Vvwtb3,Take to Drop-off Recycling Center,False,False,True,False
R_2qyGcToGDh4RaZ9,Other (such as can and bottle return or compost),False,False,False,True
R_2zvycCkumzeZ52I,Trash Cart,True,False,False,False
R_UGAP20SuXpQA5nb,Other (such as can and bottle return or compost),False,False,False,True
R_2qf2sxWPQ6hpy76,Take to Drop-off Recycling Center,False,False,True,False
R_2uszpmMWAkulrn5,Trash Cart,True,False,False,False
R_3KwQ7E4zbFsuJp9,Recycling Cart,False,True,False,False
R_11cfBkheKPcFiIz,Take to Drop-off Recycling Center,False,False,True,False
R_2triF08YCXtQQiC,Take to Drop-off Recycling Center,False,False,True,False
R_25YKUvS6s0IrEQn,Trash Cart,True,False,False,False
R_3mfS4qfldItR359,Trash Cart,True,False,False,False
R_1rk2aM9ptDxh0uw,Trash Cart,True,False,False,False
R_2e2QOTM0MXgBdim,NA,False,False,False,False
R_2SoVznHLXFp6AII,Other (such as can and bottle return or compost),False,False,False,True
R_3nxx80KCxVLQAE3,Trash Cart,True,False,False,False
R_3nCACOSRY2r0RhQ,Trash Cart,True,False,False,False
R_3lQa3BonRlpagPA,Other (such as can and bottle return or compost),False,False,False,True
