startdate,starttime,enddate,endtime,status,progress,duration_in_secs,finished,recordeddate,responseid,distributionchannel,userlanguage,current_info_receipt,how_do_you_want_info,recyclable_paper_disposal,nonrecyclable_paper_disposal,cardboard_boxboard_disposal,recyclable_glass_disposal,specialty_glass_disposal,recyclable_plastics_disposal,plastic_bag_disposal,bulky_plastic_disposal,polystyrene_foam_disposal,recyclable_metals_disposal,specialty_metals_disposal,e_waste_disposal,misc_items_disposal,accepted_item_in_trash,accepted_item_in_recycling,not_accepted_item_in_trash,not_accepted_item_in_recycling,unsure_item_in_trash,unsure_item_in_recycling,specialty_recycle_dropoff,what_happens_unwashed,what_happens_bagged,what_happens_unsure
2020-10-19,11:25:51,2020-10-19,11:26:32,IP Address,100,41,True,2020-10-19 11:26:33,R_2dL7Dr8dZTCTKwT,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-19,12:20:54,2020-10-19,12:23:59,IP Address,100,184,True,2020-10-19 12:23:59,R_1DvFTBxrtp3Jn7k,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Recycle Coach and/or Lansing Connect app","Information on my recycling cart,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Trash Cart,Trash Cart,Trash Cart,Trash Cart,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,NA,NA,NA,I am unsure of what happens to unwashed recyclable items.,Taken out of the bags by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:21:34,2020-10-19,12:24:28,IP Address,100,174,True,2020-10-19 12:24:28,R_2S1VkDbgNkHOtu2,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","The Capital Area Recycling and Trash website,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely unlikely,Disposed of into the trash by the recycling center after pick-up.,Rejected by the recycling collectors before pick-up.,Dispose of the item in the trash.
2020-10-19,12:20:31,2020-10-19,12:25:11,IP Address,100,279,True,2020-10-19 12:25:11,R_WAw1Y2Lth9AzEt3,anonymous,EN,"Information on my recycling cart,The Recycle Coach and/or Lansing Connect app",Information on my recycling cart,"Trash Cart,Recycling Cart","Trash Cart,Recycling Cart",Recycling Cart,"Trash Cart,Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Recycling Cart,"Trash Cart,Take to Drop-off Recycling Center",NA,Take to Drop-off Recycling Center,Recycling Cart,NA,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Extremely likely,Cleaned by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Recycle the item.
2020-10-19,12:21:34,2020-10-19,12:25:21,IP Address,100,227,True,2020-10-19 12:25:21,R_3NXr97CGD8N3bmg,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:21:03,2020-10-19,12:25:22,IP Address,100,259,True,2020-10-19 12:25:23,R_3oMg4oXhX3tSVRX,anonymous,EN,"Friends/family/and/or neighbors,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Take to Drop-off Recycling Center,Trash Cart,Extremely unlikely,Extremely likely,Somewhat likely,Somewhat unlikely,Extremely likely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:21:17,2020-10-19,12:26:17,IP Address,100,300,True,2020-10-19 12:26:17,R_Q4fpQoXlaK7Mich,anonymous,EN,"Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Recycling Cart,Trash Cart,Recycling Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Recycling Cart,"Trash Cart,Other (such as can and bottle return or compost)","Trash Cart,Recycling Cart","Trash Cart,Recycling Cart","Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Other (such as can and bottle return or compost),Trash Cart,Somewhat likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Ask someone I know (friend/family/coworker/neighbor/etc) if it is recyclable and dispose of the item according to their direction.
2020-10-19,12:21:50,2020-10-19,12:26:55,IP Address,100,305,True,2020-10-19 12:26:56,R_3kiLunV05z4Szeh,anonymous,EN,Mailed pamphlets/flyers/or newsletters,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,NA,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Disposed of into the trash by the recycling center after pick-up.,Rejected by the recycling collectors before pick-up.,Recycle the item.
2020-10-19,12:23:31,2020-10-19,12:27:54,IP Address,100,262,True,2020-10-19 12:27:54,R_1KxmkexzynkSl95,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The City of Lansing social media pages,The Recycle Coach and/or Lansing Connect app","The Capital Area Recycling and Trash website,The City of Lansing social media pages,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,NA,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:23:10,2020-10-19,12:28:02,IP Address,100,291,True,2020-10-19 12:28:02,R_tSROmSFI65uhA2J,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Trash Cart,Trash Cart,Recycling Cart,Trash Cart,Other (such as can and bottle return or compost),Trash Cart,Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
