responseid,accepted_item_in_recycling,not_accepted_item_in_trash,unsure_item_in_trash,not_accepted_item_in_recycling,unsure_item_in_recycling,not_accepted_rc_num_scale,unsure_rc_num_scale,not_accepted_trash_num_scale,unsure_trash_num_scale
R_2dL7Dr8dZTCTKwT,,,,,,0,0,0,0
R_1DvFTBxrtp3Jn7k,Extremely likely,Extremely likely,,Extremely unlikely,,1,0,5,0
R_2S1VkDbgNkHOtu2,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,4,4,5,5
R_WAw1Y2Lth9AzEt3,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,5,4
R_3NXr97CGD8N3bmg,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3oMg4oXhX3tSVRX,Extremely likely,Somewhat likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,4,5
R_Q4fpQoXlaK7Mich,Extremely likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,4,4
R_3kiLunV05z4Szeh,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_1KxmkexzynkSl95,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_tSROmSFI65uhA2J,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat likely,2,4,5,3
R_3EtDMDxfllMlOjQ,,,Extremely likely,,Extremely likely,0,5,0,5
R_2tLMUvK1EH7DLeG,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_23488oCmFcoTcSo,,Somewhat unlikely,Extremely likely,,,0,0,2,5
R_2RadolWwkWxzk1P,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1g2xGtXkn9deN5R,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_2EoWt3uBdqOZimJ,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,4,4
R_1FS6PynCDXPC9cK,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,3,1,3,2
R_3mlNCY103xrod13,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_2VmccSEFjhd3HdO,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_1QlIYkuOeDmZBz0,Extremely likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,3,4,5,4
R_DOjuEcxc0Ac9XmV,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_TiPzLjzfIRiiMOB,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2rPBf7hZ2fluqTC,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_2fpNpQlj6haARqq,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_2tledQ3XLda1vEC,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_DOxmHFBL1K0uJYB,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_9vsXwRK28UxJrGN,Extremely likely,Somewhat likely,Neither likely nor unlikely,Extremely likely,Extremely unlikely,5,1,4,3
R_3KAwxBZIyCXBKUY,Neither likely nor unlikely,,,,,0,0,0,0
R_2COioatClxTHs17,Extremely likely,Extremely likely,,Extremely unlikely,Somewhat likely,1,4,5,0
R_C1BgpyLAWVNjNEB,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Neither likely nor unlikely,1,3,5,4
R_3KJhRXggdz4ZlkC,Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Neither likely nor unlikely,5,3,4,5
R_3gZ6y9x1MvVfWoy,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2WGqr6r00R9cRFn,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_3fjTI6foFlWsi8a,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,5,1
R_ulGKVQji1JSWlot,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,4,4
R_1GUM8X3lC3QsDdH,Extremely likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,1,4
R_3QDapxcilDJAb0Z,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,5,1
R_2qsn1iZZtIYa3fb,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_22wQpmE7t8aNRZw,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_3EEC995yU4ZjGjR,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_21EQnB8dSzsKVfk,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1H1Vw5z4scuxeDR,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,5,2
R_1PY1cGY3K4Pp589,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1H1amT7gltHB81c,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Neither likely nor unlikely,2,3,4,4
R_1CxbLod3wAaFYBP,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_UXFfvIQeOFQKZ5n,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Neither likely nor unlikely,1,3,5,5
R_2pQYyMG4dzX0OE6,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2VDSkW88jjDy4yq,Extremely likely,Extremely likely,,Extremely unlikely,Extremely unlikely,1,1,5,0
R_3ITaqOxDj5RItE7,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_1hFr1gxvqvJVX56,Extremely likely,Extremely unlikely,Neither likely nor unlikely,Extremely unlikely,Extremely likely,1,5,1,3
R_1dfZpRDrv2rY7jR,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,5,4
R_33e5mQ65Tg1UdCK,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,Somewhat unlikely,1,2,4,1
R_74ck1s16gme4s49,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1fkmHqSIqoB97ou,Extremely likely,Extremely unlikely,Somewhat unlikely,Extremely unlikely,Somewhat unlikely,1,2,1,2
R_2axHFpThijbRi4d,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Neither likely nor unlikely,2,3,5,4
R_3NCE5vaAX0073xW,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,4,4
R_3DvSxJbuBMglw7z,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat likely,2,4,5,3
R_5opRzgT1yJnEJ0J,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_1kUIT1SILd60pyU,Extremely unlikely,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,5,1,5,5
R_9ZuknWLhbVqOybf,Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,5,5,4,5
R_1FLjhf2sFI44Cf4,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_vMLDrYTdfCabRjX,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_25swR7JzvEq9fSC,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,5,4
R_3qg5G8KDEhDNLsx,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,5,2
R_2uD0ALI9QOcgGvy,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,4,4
