responseid,recyclable_paper_disposal,trash,recycle,dropoff,other
R_2dL7Dr8dZTCTKwT,NA,False,False,False,False
R_1DvFTBxrtp3Jn7k,Recycling Cart,False,True,False,False
R_2S1VkDbgNkHOtu2,Recycling Cart,False,True,False,False
R_WAw1Y2Lth9AzEt3,"Trash Cart,Recycling Cart",True,True,False,False
R_3NXr97CGD8N3bmg,Recycling Cart,False,True,False,False
R_3oMg4oXhX3tSVRX,Recycling Cart,False,True,False,False
R_Q4fpQoXlaK7Mich,Recycling Cart,False,True,False,False
R_3kiLunV05z4Szeh,Recycling Cart,False,True,False,False
R_1KxmkexzynkSl95,Recycling Cart,False,True,False,False
R_tSROmSFI65uhA2J,Recycling Cart,False,True,False,False
R_3EtDMDxfllMlOjQ,Recycling Cart,False,True,False,False
R_2tLMUvK1EH7DLeG,Recycling Cart,False,True,False,False
R_23488oCmFcoTcSo,Recycling Cart,False,True,False,False
R_2RadolWwkWxzk1P,"Trash Cart,Recycling Cart",True,True,False,False
R_1g2xGtXkn9deN5R,Recycling Cart,False,True,False,False
R_2EoWt3uBdqOZimJ,Recycling Cart,False,True,False,False
R_1FS6PynCDXPC9cK,Recycling Cart,False,True,False,False
R_3mlNCY103xrod13,Recycling Cart,False,True,False,False
R_2VmccSEFjhd3HdO,Recycling Cart,False,True,False,False
R_1QlIYkuOeDmZBz0,Recycling Cart,False,True,False,False
R_DOjuEcxc0Ac9XmV,Recycling Cart,False,True,False,False
R_TiPzLjzfIRiiMOB,Recycling Cart,False,True,False,False
R_2rPBf7hZ2fluqTC,Recycling Cart,False,True,False,False
R_2fpNpQlj6haARqq,Recycling Cart,False,True,False,False
R_2tledQ3XLda1vEC,Recycling Cart,False,True,False,False
R_DOxmHFBL1K0uJYB,Trash Cart,True,False,False,False
R_9vsXwRK28UxJrGN,Recycling Cart,False,True,False,False
R_3KAwxBZIyCXBKUY,Recycling Cart,False,True,False,False
R_2COioatClxTHs17,Recycling Cart,False,True,False,False
R_C1BgpyLAWVNjNEB,"Trash Cart,Recycling Cart",True,True,False,False
R_3KJhRXggdz4ZlkC,Recycling Cart,False,True,False,False
R_3gZ6y9x1MvVfWoy,Recycling Cart,False,True,False,False
R_2WGqr6r00R9cRFn,Recycling Cart,False,True,False,False
R_3fjTI6foFlWsi8a,Recycling Cart,False,True,False,False
R_ulGKVQji1JSWlot,Recycling Cart,False,True,False,False
R_1GUM8X3lC3QsDdH,Recycling Cart,False,True,False,False
R_3QDapxcilDJAb0Z,Recycling Cart,False,True,False,False
R_2qsn1iZZtIYa3fb,Recycling Cart,False,True,False,False
