responseid,specialty_metals_disposal,trash,recycle,dropoff,other
R_2dL7Dr8dZTCTKwT,NA,False,False,False,False
R_1DvFTBxrtp3Jn7k,Trash Cart,True,False,False,False
R_2S1VkDbgNkHOtu2,Trash Cart,True,False,False,False
R_WAw1Y2Lth9AzEt3,NA,False,False,False,False
R_3NXr97CGD8N3bmg,Trash Cart,True,False,False,False
R_3oMg4oXhX3tSVRX,Trash Cart,True,False,False,False
R_Q4fpQoXlaK7Mich,Trash Cart,True,False,False,False
R_3kiLunV05z4Szeh,Take to Drop-off Recycling Center,False,False,True,False
R_1KxmkexzynkSl95,Recycling Cart,False,True,False,False
R_tSROmSFI65uhA2J,Trash Cart,True,False,False,False
R_3EtDMDxfllMlOjQ,NA,False,False,False,False
R_2tLMUvK1EH7DLeG,NA,False,False,False,False
R_23488oCmFcoTcSo,Trash Cart,True,False,False,False
R_2RadolWwkWxzk1P,Recycling Cart,False,True,False,False
R_1g2xGtXkn9deN5R,Recycling Cart,False,True,False,False
R_2EoWt3uBdqOZimJ,Take to Drop-off Recycling Center,False,False,True,False
R_1FS6PynCDXPC9cK,Recycling Cart,False,True,False,False
R_3mlNCY103xrod13,Trash Cart,True,False,False,False
R_2VmccSEFjhd3HdO,NA,False,False,False,False
R_1QlIYkuOeDmZBz0,Recycling Cart,False,True,False,False
R_DOjuEcxc0Ac9XmV,Recycling Cart,False,True,False,False
R_TiPzLjzfIRiiMOB,Recycling Cart,False,True,False,False
R_2rPBf7hZ2fluqTC,Other (such as can and bottle return or compost),False,False,False,True
R_2fpNpQlj6haARqq,Recycling Cart,False,True,False,False
R_2tledQ3XLda1vEC,Recycling Cart,False,True,False,False
R_DOxmHFBL1K0uJYB,Trash Cart,True,False,False,False
R_9vsXwRK28UxJrGN,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_3KAwxBZIyCXBKUY,NA,False,False,False,False
R_2COioatClxTHs17,Recycling Cart,False,True,False,False
R_C1BgpyLAWVNjNEB,Trash Cart,True,False,False,False
R_3KJhRXggdz4ZlkC,Other (such as can and bottle return or compost),False,False,False,True
R_3gZ6y9x1MvVfWoy,Take to Drop-off Recycling Center,False,False,True,False
R_2WGqr6r00R9cRFn,Take to Drop-off Recycling Center,False,False,True,False
R_3fjTI6foFlWsi8a,Recycling Cart,False,True,False,False
R_ulGKVQji1JSWlot,Take to Drop-off Recycling Center,False,False,True,False
R_1GUM8X3lC3QsDdH,Other (such as can and bottle return or compost),False,False,False,True
R_3QDapxcilDJAb0Z,Trash Cart,True,False,False,False
R_2qsn1iZZtIYa3fb,Trash Cart,True,False,False,False
R_22wQpmE7t8aNRZw,Other (such as can and bottle return or compost),False,False,False,True
R_3EEC995yU4ZjGjR,Trash Cart,True,False,False,False
R_21EQnB8dSzsKVfk,Trash Cart,True,False,False,False
R_1H1Vw5z4scuxeDR,Other (such as can and bottle return or compost),False,False,False,True
R_1PY1cGY3K4Pp589,Trash Cart,True,False,False,False
R_1H1amT7gltHB81c,Trash Cart,True,False,False,False
R_1CxbLod3wAaFYBP,Trash Cart,True,False,False,False
R_UXFfvIQeOFQKZ5n,Trash Cart,True,False,False,False
R_2pQYyMG4dzX0OE6,NA,False,False,False,False
R_2VDSkW88jjDy4yq,Recycling Cart,False,True,False,False
R_3ITaqOxDj5RItE7,Trash Cart,True,False,False,False
R_1hFr1gxvqvJVX56,Recycling Cart,False,True,False,False
R_1dfZpRDrv2rY7jR,Trash Cart,True,False,False,False
R_33e5mQ65Tg1UdCK,Take to Drop-off Recycling Center,False,False,True,False
R_74ck1s16gme4s49,Trash Cart,True,False,False,False
R_1fkmHqSIqoB97ou,Trash Cart,True,False,False,False
R_2axHFpThijbRi4d,Recycling Cart,False,True,False,False
R_3NCE5vaAX0073xW,Other (such as can and bottle return or compost),False,False,False,True
R_3DvSxJbuBMglw7z,Trash Cart,True,False,False,False
R_5opRzgT1yJnEJ0J,Trash Cart,True,False,False,False
R_1kUIT1SILd60pyU,Trash Cart,True,False,False,False
R_9ZuknWLhbVqOybf,Trash Cart,True,False,False,False
R_1FLjhf2sFI44Cf4,Recycling Cart,False,True,False,False
R_vMLDrYTdfCabRjX,Trash Cart,True,False,False,False
R_25swR7JzvEq9fSC,Trash Cart,True,False,False,False
R_3qg5G8KDEhDNLsx,Take to Drop-off Recycling Center,False,False,True,False
R_2uD0ALI9QOcgGvy,Trash Cart,True,False,False,False
R_1FETsu2RRPPeIJT,Recycling Cart,False,True,False,False
R_3ixPUKbQWLsfetW,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_1mUcb0Hh0r5qucC,Trash Cart,True,False,False,False
R_2PAmevHIHLgziO3,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_2Sddp0F6fYGZyHA,Take to Drop-off Recycling Center,False,False,True,False
R_3knpGQ9G5ryIutp,NA,False,False,False,False
R_7NVNNKqoitRQUgx,Trash Cart,True,False,False,False
R_2w1tsFF4dkvUfKp,Other (such as can and bottle return or compost),False,False,False,True
R_3RjBa6MGSs4do0w,Take to Drop-off Recycling Center,False,False,True,False
R_2rSBq7AyNy1tQyA,Trash Cart,True,False,False,False
R_1mlbPGlXYxOItvW,Take to Drop-off Recycling Center,False,False,True,False
R_1FfHXjJCrVBsKDT,Take to Drop-off Recycling Center,False,False,True,False
R_qLAjxtPeyqzAjwl,Take to Drop-off Recycling Center,False,False,True,False
R_1rdfLkwq0zmQpq6,Trash Cart,True,False,False,False
R_1F3a8tnE5Q8pGdi,Recycling Cart,False,True,False,False
R_3isEgheOJ7P7Me5,Other (such as can and bottle return or compost),False,False,False,True
R_3sySnbgLzldFscH,Trash Cart,True,False,False,False
R_3RxAAtDL9Lx4kR7,"Trash Cart,Recycling Cart,Take to Drop-off Recycling Center",True,True,True,False
R_3nBlRCMp3NNYxHy,Recycling Cart,False,True,False,False
R_0wFPwZJvI678KjL,Trash Cart,True,False,False,False
R_1cXO9BN8DVjD1id,Recycling Cart,False,True,False,False
R_O0Vqzd2lhofUuBj,Trash Cart,True,False,False,False
R_1gumG0DM4oGOLwT,Take to Drop-off Recycling Center,False,False,True,False
R_1rHV1Z1POlYzoTy,Trash Cart,True,False,False,False
R_29v1kl7ODZPkbU5,Take to Drop-off Recycling Center,False,False,True,False
R_PHAnDywGWw3nEIN,Take to Drop-off Recycling Center,False,False,True,False
R_By6LtI4TklIHVy9,Trash Cart,True,False,False,False
R_2UhA1v3qaFrnJZP,Trash Cart,True,False,False,False
R_3En9mcTwfuvDfOm,Take to Drop-off Recycling Center,False,False,True,False
R_1mPlcrAhN4I8K7K,Take to Drop-off Recycling Center,False,False,True,False
R_3321VFsdTPHrNf0,Trash Cart,True,False,False,False
R_2s55Fi8dnA002Pt,Trash Cart,True,False,False,False
R_5uUhGcsrjiE6x2x,Trash Cart,True,False,False,False
R_C2KeQW0YotEvUDT,Take to Drop-off Recycling Center,False,False,True,False
R_6s6jBcPw0NjkFi1,NA,False,False,False,False
R_XGTNl5JQHsWQyQh,Trash Cart,True,False,False,False
R_1FJwpfVTJekOqjh,Recycling Cart,False,True,False,False
R_3RwsYtSP9tdkYv1,Trash Cart,True,False,False,False
R_2VlkppxWDNp9fPk,Trash Cart,True,False,False,False
R_8IeUzTJ78Vvwtb3,NA,False,False,False,False
R_2qyGcToGDh4RaZ9,Recycling Cart,False,True,False,False
R_2zvycCkumzeZ52I,Trash Cart,True,False,False,False
R_UGAP20SuXpQA5nb,Recycling Cart,False,True,False,False
R_2qf2sxWPQ6hpy76,NA,False,False,False,False
R_2uszpmMWAkulrn5,Trash Cart,True,False,False,False
R_3KwQ7E4zbFsuJp9,Trash Cart,True,False,False,False
R_11cfBkheKPcFiIz,Take to Drop-off Recycling Center,False,False,True,False
R_2triF08YCXtQQiC,Trash Cart,True,False,False,False
R_25YKUvS6s0IrEQn,Trash Cart,True,False,False,False
R_3mfS4qfldItR359,Take to Drop-off Recycling Center,False,False,True,False
R_1rk2aM9ptDxh0uw,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_2e2QOTM0MXgBdim,Other (such as can and bottle return or compost),False,False,False,True
R_2SoVznHLXFp6AII,Other (such as can and bottle return or compost),False,False,False,True
R_3nxx80KCxVLQAE3,Recycling Cart,False,True,False,False
R_3nCACOSRY2r0RhQ,Trash Cart,True,False,False,False
R_3lQa3BonRlpagPA,Other (such as can and bottle return or compost),False,False,False,True
R_115CzHpYpS1WSop,NA,False,False,False,False
R_Ua8v5yZy7uRanBv,Recycling Cart,False,True,False,False
R_A1BsIL7IKYuo4Cd,Trash Cart,True,False,False,False
R_1dtzY5QvyeFFXMY,Trash Cart,True,False,False,False
R_1j9DiGmtVH60GjR,Take to Drop-off Recycling Center,False,False,True,False
R_2zphRy3Bq8VAjZo,Trash Cart,True,False,False,False
R_3IYw0HmXPuJiLqJ,Trash Cart,True,False,False,False
R_e3cV1JzQCM0ZhaF,Recycling Cart,False,True,False,False
